,,,,,
,,,,,
0: Category 0,LT_5L1_SIGN,3x-5,0,LT_5L1 Неопределено,
2: Category 2,LT_5L1_SIGN,3x-5,1,LT_5L1 Верхн. авар. порог,255:0:0
2: Category 2,LT_5L1_SIGN,3x-5,2,LT_5L1 Нижн. авар. порог,255:0:0
1: Category 1,LT_5L1_SIGN,3x-5,3,LT_5L1 Верхн. предупр. порог,255:215:0
1: Category 1,LT_5L1_SIGN,3x-5,4,LT_5L1 Нижн. предупр. порог,255:215:0
0: Category 0,LT_5L1_SIGN,3x-5,5,LT_5L1 В диапазоне уставок,
0: Category 0,LT_5L1_QUALITY,3x-4,0,КАНАЛ LT_5L1 - Неопред.,
2: Category 2,LT_5L1_QUALITY,3x-4,1,КАНАЛ LT_5L1 - Ошибка,255:0:0
2: Category 2,LT_5L1_QUALITY,3x-4,2,КАНАЛ LT_5L1 - Обрыв,255:0:0
2: Category 2,LT_5L1_QUALITY,3x-4,3,КАНАЛ LT_5L1 - Перегрузка,255:0:0
1: Category 1,LT_5L1_QUALITY,3x-4,7,КАНАЛ LT_5L1 - Подмена,255:215:0
0: Category 0,LT_5L1_QUALITY,3x-4,9,КАНАЛ LT_5L1 - ОК,
0: Category 0,LZT_5L10_1_SIGN,3x-10,0,LZT_5L10_1 Неопределено,
2: Category 2,LZT_5L10_1_SIGN,3x-10,1,LZT_5L10_1 Верхн. авар. порог,255:0:0
2: Category 2,LZT_5L10_1_SIGN,3x-10,2,LZT_5L10_1 Нижн. авар. порог,255:0:0
1: Category 1,LZT_5L10_1_SIGN,3x-10,3,LZT_5L10_1 Верхн. предупр. порог,255:215:0
1: Category 1,LZT_5L10_1_SIGN,3x-10,4,LZT_5L10_1 Нижн. предупр. порог,255:215:0
0: Category 0,LZT_5L10_1_SIGN,3x-10,5,LZT_5L10_1 В диапазоне уставок,
0: Category 0,LZT_5L10_1_QUALITY,3x-9,0,КАНАЛ LZT_5L10_1 - Неопред.,
2: Category 2,LZT_5L10_1_QUALITY,3x-9,1,КАНАЛ LZT_5L10_1 - Ошибка,255:0:0
2: Category 2,LZT_5L10_1_QUALITY,3x-9,2,КАНАЛ LZT_5L10_1 - Обрыв,255:0:0
2: Category 2,LZT_5L10_1_QUALITY,3x-9,3,КАНАЛ LZT_5L10_1 - Перегрузка,255:0:0
1: Category 1,LZT_5L10_1_QUALITY,3x-9,7,КАНАЛ LZT_5L10_1 - Подмена,255:215:0
0: Category 0,LZT_5L10_1_QUALITY,3x-9,9,КАНАЛ LZT_5L10_1 - ОК,
0: Category 0,LZT_5L10_2_SIGN,3x-15,0,LZT_5L10_2 Неопределено,
2: Category 2,LZT_5L10_2_SIGN,3x-15,1,LZT_5L10_2 Верхн. авар. порог,255:0:0
2: Category 2,LZT_5L10_2_SIGN,3x-15,2,LZT_5L10_2 Нижн. авар. порог,255:0:0
1: Category 1,LZT_5L10_2_SIGN,3x-15,3,LZT_5L10_2 Верхн. предупр. порог,255:215:0
1: Category 1,LZT_5L10_2_SIGN,3x-15,4,LZT_5L10_2 Нижн. предупр. порог,255:215:0
0: Category 0,LZT_5L10_2_SIGN,3x-15,5,LZT_5L10_2 В диапазоне уставок,
0: Category 0,LZT_5L10_2_QUALITY,3x-14,0,КАНАЛ LZT_5L10_2 - Неопред.,
2: Category 2,LZT_5L10_2_QUALITY,3x-14,1,КАНАЛ LZT_5L10_2 - Ошибка,255:0:0
2: Category 2,LZT_5L10_2_QUALITY,3x-14,2,КАНАЛ LZT_5L10_2 - Обрыв,255:0:0
2: Category 2,LZT_5L10_2_QUALITY,3x-14,3,КАНАЛ LZT_5L10_2 - Перегрузка,255:0:0
1: Category 1,LZT_5L10_2_QUALITY,3x-14,7,КАНАЛ LZT_5L10_2 - Подмена,255:215:0
0: Category 0,LZT_5L10_2_QUALITY,3x-14,9,КАНАЛ LZT_5L10_2 - ОК,
0: Category 0,TZT_5T10_1_SIGN,3x-20,0,TZT_5T10_1 Неопределено,
2: Category 2,TZT_5T10_1_SIGN,3x-20,1,TZT_5T10_1 Верхн. авар. порог,255:0:0
2: Category 2,TZT_5T10_1_SIGN,3x-20,2,TZT_5T10_1 Нижн. авар. порог,255:0:0
1: Category 1,TZT_5T10_1_SIGN,3x-20,3,TZT_5T10_1 Верхн. предупр. порог,255:215:0
1: Category 1,TZT_5T10_1_SIGN,3x-20,4,TZT_5T10_1 Нижн. предупр. порог,255:215:0
0: Category 0,TZT_5T10_1_SIGN,3x-20,5,TZT_5T10_1 В диапазоне уставок,
0: Category 0,TZT_5T10_1_QUALITY,3x-19,0,КАНАЛ TZT_5T10_1 - Неопред.,
2: Category 2,TZT_5T10_1_QUALITY,3x-19,1,КАНАЛ TZT_5T10_1 - Ошибка,255:0:0
2: Category 2,TZT_5T10_1_QUALITY,3x-19,2,КАНАЛ TZT_5T10_1 - Обрыв,255:0:0
2: Category 2,TZT_5T10_1_QUALITY,3x-19,3,КАНАЛ TZT_5T10_1 - Перегрузка,255:0:0
1: Category 1,TZT_5T10_1_QUALITY,3x-19,7,КАНАЛ TZT_5T10_1 - Подмена,255:215:0
0: Category 0,TZT_5T10_1_QUALITY,3x-19,9,КАНАЛ TZT_5T10_1 - ОК,
0: Category 0,TZT_5T10_2_SIGN,3x-25,0,TZT_5T10_2 Неопределено,
2: Category 2,TZT_5T10_2_SIGN,3x-25,1,TZT_5T10_2 Верхн. авар. порог,255:0:0
2: Category 2,TZT_5T10_2_SIGN,3x-25,2,TZT_5T10_2 Нижн. авар. порог,255:0:0
1: Category 1,TZT_5T10_2_SIGN,3x-25,3,TZT_5T10_2 Верхн. предупр. порог,255:215:0
1: Category 1,TZT_5T10_2_SIGN,3x-25,4,TZT_5T10_2 Нижн. предупр. порог,255:215:0
0: Category 0,TZT_5T10_2_SIGN,3x-25,5,TZT_5T10_2 В диапазоне уставок,
0: Category 0,TZT_5T10_2_QUALITY,3x-24,0,КАНАЛ TZT_5T10_2 - Неопред.,
2: Category 2,TZT_5T10_2_QUALITY,3x-24,1,КАНАЛ TZT_5T10_2 - Ошибка,255:0:0
2: Category 2,TZT_5T10_2_QUALITY,3x-24,2,КАНАЛ TZT_5T10_2 - Обрыв,255:0:0
2: Category 2,TZT_5T10_2_QUALITY,3x-24,3,КАНАЛ TZT_5T10_2 - Перегрузка,255:0:0
1: Category 1,TZT_5T10_2_QUALITY,3x-24,7,КАНАЛ TZT_5T10_2 - Подмена,255:215:0
0: Category 0,TZT_5T10_2_QUALITY,3x-24,9,КАНАЛ TZT_5T10_2 - ОК,
0: Category 0,PZT_5P12_1_SIGN,3x-30,0,PZT_5P12_1 Неопределено,
2: Category 2,PZT_5P12_1_SIGN,3x-30,1,PZT_5P12_1 Верхн. авар. порог,255:0:0
2: Category 2,PZT_5P12_1_SIGN,3x-30,2,PZT_5P12_1 Нижн. авар. порог,255:0:0
1: Category 1,PZT_5P12_1_SIGN,3x-30,3,PZT_5P12_1 Верхн. предупр. порог,255:215:0
1: Category 1,PZT_5P12_1_SIGN,3x-30,4,PZT_5P12_1 Нижн. предупр. порог,255:215:0
0: Category 0,PZT_5P12_1_SIGN,3x-30,5,PZT_5P12_1 В диапазоне уставок,
0: Category 0,PZT_5P12_1_QUALITY,3x-29,0,КАНАЛ PZT_5P12_1 - Неопред.,
2: Category 2,PZT_5P12_1_QUALITY,3x-29,1,КАНАЛ PZT_5P12_1 - Ошибка,255:0:0
2: Category 2,PZT_5P12_1_QUALITY,3x-29,2,КАНАЛ PZT_5P12_1 - Обрыв,255:0:0
2: Category 2,PZT_5P12_1_QUALITY,3x-29,3,КАНАЛ PZT_5P12_1 - Перегрузка,255:0:0
1: Category 1,PZT_5P12_1_QUALITY,3x-29,7,КАНАЛ PZT_5P12_1 - Подмена,255:215:0
0: Category 0,PZT_5P12_1_QUALITY,3x-29,9,КАНАЛ PZT_5P12_1 - ОК,
0: Category 0,PZT_5P12_2_SIGN,3x-35,0,PZT_5P12_2 Неопределено,
2: Category 2,PZT_5P12_2_SIGN,3x-35,1,PZT_5P12_2 Верхн. авар. порог,255:0:0
2: Category 2,PZT_5P12_2_SIGN,3x-35,2,PZT_5P12_2 Нижн. авар. порог,255:0:0
1: Category 1,PZT_5P12_2_SIGN,3x-35,3,PZT_5P12_2 Верхн. предупр. порог,255:215:0
1: Category 1,PZT_5P12_2_SIGN,3x-35,4,PZT_5P12_2 Нижн. предупр. порог,255:215:0
0: Category 0,PZT_5P12_2_SIGN,3x-35,5,PZT_5P12_2 В диапазоне уставок,
0: Category 0,PZT_5P12_2_QUALITY,3x-34,0,КАНАЛ PZT_5P12_2 - Неопред.,
2: Category 2,PZT_5P12_2_QUALITY,3x-34,1,КАНАЛ PZT_5P12_2 - Ошибка,255:0:0
2: Category 2,PZT_5P12_2_QUALITY,3x-34,2,КАНАЛ PZT_5P12_2 - Обрыв,255:0:0
2: Category 2,PZT_5P12_2_QUALITY,3x-34,3,КАНАЛ PZT_5P12_2 - Перегрузка,255:0:0
1: Category 1,PZT_5P12_2_QUALITY,3x-34,7,КАНАЛ PZT_5P12_2 - Подмена,255:215:0
0: Category 0,PZT_5P12_2_QUALITY,3x-34,9,КАНАЛ PZT_5P12_2 - ОК,
0: Category 0,LZT_5L11_1_SIGN,3x-40,0,LZT_5L11_1 Неопределено,
2: Category 2,LZT_5L11_1_SIGN,3x-40,1,LZT_5L11_1 Верхн. авар. порог,255:0:0
2: Category 2,LZT_5L11_1_SIGN,3x-40,2,LZT_5L11_1 Нижн. авар. порог,255:0:0
1: Category 1,LZT_5L11_1_SIGN,3x-40,3,LZT_5L11_1 Верхн. предупр. порог,255:215:0
1: Category 1,LZT_5L11_1_SIGN,3x-40,4,LZT_5L11_1 Нижн. предупр. порог,255:215:0
0: Category 0,LZT_5L11_1_SIGN,3x-40,5,LZT_5L11_1 В диапазоне уставок,
0: Category 0,LZT_5L11_1_QUALITY,3x-39,0,КАНАЛ LZT_5L11_1 - Неопред.,
2: Category 2,LZT_5L11_1_QUALITY,3x-39,1,КАНАЛ LZT_5L11_1 - Ошибка,255:0:0
2: Category 2,LZT_5L11_1_QUALITY,3x-39,2,КАНАЛ LZT_5L11_1 - Обрыв,255:0:0
2: Category 2,LZT_5L11_1_QUALITY,3x-39,3,КАНАЛ LZT_5L11_1 - Перегрузка,255:0:0
1: Category 1,LZT_5L11_1_QUALITY,3x-39,7,КАНАЛ LZT_5L11_1 - Подмена,255:215:0
0: Category 0,LZT_5L11_1_QUALITY,3x-39,9,КАНАЛ LZT_5L11_1 - ОК,
0: Category 0,LZT_5L11_2_SIGN,3x-45,0,LZT_5L11_2 Неопределено,
2: Category 2,LZT_5L11_2_SIGN,3x-45,1,LZT_5L11_2 Верхн. авар. порог,255:0:0
2: Category 2,LZT_5L11_2_SIGN,3x-45,2,LZT_5L11_2 Нижн. авар. порог,255:0:0
1: Category 1,LZT_5L11_2_SIGN,3x-45,3,LZT_5L11_2 Верхн. предупр. порог,255:215:0
1: Category 1,LZT_5L11_2_SIGN,3x-45,4,LZT_5L11_2 Нижн. предупр. порог,255:215:0
0: Category 0,LZT_5L11_2_SIGN,3x-45,5,LZT_5L11_2 В диапазоне уставок,
0: Category 0,LZT_5L11_2_QUALITY,3x-44,0,КАНАЛ LZT_5L11_2 - Неопред.,
2: Category 2,LZT_5L11_2_QUALITY,3x-44,1,КАНАЛ LZT_5L11_2 - Ошибка,255:0:0
2: Category 2,LZT_5L11_2_QUALITY,3x-44,2,КАНАЛ LZT_5L11_2 - Обрыв,255:0:0
2: Category 2,LZT_5L11_2_QUALITY,3x-44,3,КАНАЛ LZT_5L11_2 - Перегрузка,255:0:0
1: Category 1,LZT_5L11_2_QUALITY,3x-44,7,КАНАЛ LZT_5L11_2 - Подмена,255:215:0
0: Category 0,LZT_5L11_2_QUALITY,3x-44,9,КАНАЛ LZT_5L11_2 - ОК,
0: Category 0,TZT_5T11_1_SIGN,3x-50,0,TZT_5T11_1 Неопределено,
2: Category 2,TZT_5T11_1_SIGN,3x-50,1,TZT_5T11_1 Верхн. авар. порог,255:0:0
2: Category 2,TZT_5T11_1_SIGN,3x-50,2,TZT_5T11_1 Нижн. авар. порог,255:0:0
1: Category 1,TZT_5T11_1_SIGN,3x-50,3,TZT_5T11_1 Верхн. предупр. порог,255:215:0
1: Category 1,TZT_5T11_1_SIGN,3x-50,4,TZT_5T11_1 Нижн. предупр. порог,255:215:0
0: Category 0,TZT_5T11_1_SIGN,3x-50,5,TZT_5T11_1 В диапазоне уставок,
0: Category 0,TZT_5T11_1_QUALITY,3x-49,0,КАНАЛ TZT_5T11_1 - Неопред.,
2: Category 2,TZT_5T11_1_QUALITY,3x-49,1,КАНАЛ TZT_5T11_1 - Ошибка,255:0:0
2: Category 2,TZT_5T11_1_QUALITY,3x-49,2,КАНАЛ TZT_5T11_1 - Обрыв,255:0:0
2: Category 2,TZT_5T11_1_QUALITY,3x-49,3,КАНАЛ TZT_5T11_1 - Перегрузка,255:0:0
1: Category 1,TZT_5T11_1_QUALITY,3x-49,7,КАНАЛ TZT_5T11_1 - Подмена,255:215:0
0: Category 0,TZT_5T11_1_QUALITY,3x-49,9,КАНАЛ TZT_5T11_1 - ОК,
0: Category 0,TZT_5T11_2_SIGN,3x-55,0,TZT_5T11_2 Неопределено,
2: Category 2,TZT_5T11_2_SIGN,3x-55,1,TZT_5T11_2 Верхн. авар. порог,255:0:0
2: Category 2,TZT_5T11_2_SIGN,3x-55,2,TZT_5T11_2 Нижн. авар. порог,255:0:0
1: Category 1,TZT_5T11_2_SIGN,3x-55,3,TZT_5T11_2 Верхн. предупр. порог,255:215:0
1: Category 1,TZT_5T11_2_SIGN,3x-55,4,TZT_5T11_2 Нижн. предупр. порог,255:215:0
0: Category 0,TZT_5T11_2_SIGN,3x-55,5,TZT_5T11_2 В диапазоне уставок,
0: Category 0,TZT_5T11_2_QUALITY,3x-54,0,КАНАЛ TZT_5T11_2 - Неопред.,
2: Category 2,TZT_5T11_2_QUALITY,3x-54,1,КАНАЛ TZT_5T11_2 - Ошибка,255:0:0
2: Category 2,TZT_5T11_2_QUALITY,3x-54,2,КАНАЛ TZT_5T11_2 - Обрыв,255:0:0
2: Category 2,TZT_5T11_2_QUALITY,3x-54,3,КАНАЛ TZT_5T11_2 - Перегрузка,255:0:0
1: Category 1,TZT_5T11_2_QUALITY,3x-54,7,КАНАЛ TZT_5T11_2 - Подмена,255:215:0
0: Category 0,TZT_5T11_2_QUALITY,3x-54,9,КАНАЛ TZT_5T11_2 - ОК,
0: Category 0,PZT_5P13_1_SIGN,3x-60,0,PZT_5P13_1 Неопределено,
2: Category 2,PZT_5P13_1_SIGN,3x-60,1,PZT_5P13_1 Верхн. авар. порог,255:0:0
2: Category 2,PZT_5P13_1_SIGN,3x-60,2,PZT_5P13_1 Нижн. авар. порог,255:0:0
1: Category 1,PZT_5P13_1_SIGN,3x-60,3,PZT_5P13_1 Верхн. предупр. порог,255:215:0
1: Category 1,PZT_5P13_1_SIGN,3x-60,4,PZT_5P13_1 Нижн. предупр. порог,255:215:0
0: Category 0,PZT_5P13_1_SIGN,3x-60,5,PZT_5P13_1 В диапазоне уставок,
0: Category 0,PZT_5P13_1_QUALITY,3x-59,0,КАНАЛ PZT_5P13_1 - Неопред.,
2: Category 2,PZT_5P13_1_QUALITY,3x-59,1,КАНАЛ PZT_5P13_1 - Ошибка,255:0:0
2: Category 2,PZT_5P13_1_QUALITY,3x-59,2,КАНАЛ PZT_5P13_1 - Обрыв,255:0:0
2: Category 2,PZT_5P13_1_QUALITY,3x-59,3,КАНАЛ PZT_5P13_1 - Перегрузка,255:0:0
1: Category 1,PZT_5P13_1_QUALITY,3x-59,7,КАНАЛ PZT_5P13_1 - Подмена,255:215:0
0: Category 0,PZT_5P13_1_QUALITY,3x-59,9,КАНАЛ PZT_5P13_1 - ОК,
0: Category 0,PZT_5P13_2_SIGN,3x-65,0,PZT_5P13_2 Неопределено,
2: Category 2,PZT_5P13_2_SIGN,3x-65,1,PZT_5P13_2 Верхн. авар. порог,255:0:0
2: Category 2,PZT_5P13_2_SIGN,3x-65,2,PZT_5P13_2 Нижн. авар. порог,255:0:0
1: Category 1,PZT_5P13_2_SIGN,3x-65,3,PZT_5P13_2 Верхн. предупр. порог,255:215:0
1: Category 1,PZT_5P13_2_SIGN,3x-65,4,PZT_5P13_2 Нижн. предупр. порог,255:215:0
0: Category 0,PZT_5P13_2_SIGN,3x-65,5,PZT_5P13_2 В диапазоне уставок,
0: Category 0,PZT_5P13_2_QUALITY,3x-64,0,КАНАЛ PZT_5P13_2 - Неопред.,
2: Category 2,PZT_5P13_2_QUALITY,3x-64,1,КАНАЛ PZT_5P13_2 - Ошибка,255:0:0
2: Category 2,PZT_5P13_2_QUALITY,3x-64,2,КАНАЛ PZT_5P13_2 - Обрыв,255:0:0
2: Category 2,PZT_5P13_2_QUALITY,3x-64,3,КАНАЛ PZT_5P13_2 - Перегрузка,255:0:0
1: Category 1,PZT_5P13_2_QUALITY,3x-64,7,КАНАЛ PZT_5P13_2 - Подмена,255:215:0
0: Category 0,PZT_5P13_2_QUALITY,3x-64,9,КАНАЛ PZT_5P13_2 - ОК,
0: Category 0,LZT_5L12_1_SIGN,3x-70,0,LZT_5L12_1 Неопределено,
2: Category 2,LZT_5L12_1_SIGN,3x-70,1,LZT_5L12_1 Верхн. авар. порог,255:0:0
2: Category 2,LZT_5L12_1_SIGN,3x-70,2,LZT_5L12_1 Нижн. авар. порог,255:0:0
1: Category 1,LZT_5L12_1_SIGN,3x-70,3,LZT_5L12_1 Верхн. предупр. порог,255:215:0
1: Category 1,LZT_5L12_1_SIGN,3x-70,4,LZT_5L12_1 Нижн. предупр. порог,255:215:0
0: Category 0,LZT_5L12_1_SIGN,3x-70,5,LZT_5L12_1 В диапазоне уставок,
0: Category 0,LZT_5L12_1_QUALITY,3x-69,0,КАНАЛ LZT_5L12_1 - Неопред.,
2: Category 2,LZT_5L12_1_QUALITY,3x-69,1,КАНАЛ LZT_5L12_1 - Ошибка,255:0:0
2: Category 2,LZT_5L12_1_QUALITY,3x-69,2,КАНАЛ LZT_5L12_1 - Обрыв,255:0:0
2: Category 2,LZT_5L12_1_QUALITY,3x-69,3,КАНАЛ LZT_5L12_1 - Перегрузка,255:0:0
1: Category 1,LZT_5L12_1_QUALITY,3x-69,7,КАНАЛ LZT_5L12_1 - Подмена,255:215:0
0: Category 0,LZT_5L12_1_QUALITY,3x-69,9,КАНАЛ LZT_5L12_1 - ОК,
0: Category 0,LZT_5L12_2_SIGN,3x-75,0,LZT_5L12_2 Неопределено,
2: Category 2,LZT_5L12_2_SIGN,3x-75,1,LZT_5L12_2 Верхн. авар. порог,255:0:0
2: Category 2,LZT_5L12_2_SIGN,3x-75,2,LZT_5L12_2 Нижн. авар. порог,255:0:0
1: Category 1,LZT_5L12_2_SIGN,3x-75,3,LZT_5L12_2 Верхн. предупр. порог,255:215:0
1: Category 1,LZT_5L12_2_SIGN,3x-75,4,LZT_5L12_2 Нижн. предупр. порог,255:215:0
0: Category 0,LZT_5L12_2_SIGN,3x-75,5,LZT_5L12_2 В диапазоне уставок,
0: Category 0,LZT_5L12_2_QUALITY,3x-74,0,КАНАЛ LZT_5L12_2 - Неопред.,
2: Category 2,LZT_5L12_2_QUALITY,3x-74,1,КАНАЛ LZT_5L12_2 - Ошибка,255:0:0
2: Category 2,LZT_5L12_2_QUALITY,3x-74,2,КАНАЛ LZT_5L12_2 - Обрыв,255:0:0
2: Category 2,LZT_5L12_2_QUALITY,3x-74,3,КАНАЛ LZT_5L12_2 - Перегрузка,255:0:0
1: Category 1,LZT_5L12_2_QUALITY,3x-74,7,КАНАЛ LZT_5L12_2 - Подмена,255:215:0
0: Category 0,LZT_5L12_2_QUALITY,3x-74,9,КАНАЛ LZT_5L12_2 - ОК,
0: Category 0,TZT_5T12_1_SIGN,3x-80,0,TZT_5T12_1 Неопределено,
2: Category 2,TZT_5T12_1_SIGN,3x-80,1,TZT_5T12_1 Верхн. авар. порог,255:0:0
2: Category 2,TZT_5T12_1_SIGN,3x-80,2,TZT_5T12_1 Нижн. авар. порог,255:0:0
1: Category 1,TZT_5T12_1_SIGN,3x-80,3,TZT_5T12_1 Верхн. предупр. порог,255:215:0
1: Category 1,TZT_5T12_1_SIGN,3x-80,4,TZT_5T12_1 Нижн. предупр. порог,255:215:0
0: Category 0,TZT_5T12_1_SIGN,3x-80,5,TZT_5T12_1 В диапазоне уставок,
0: Category 0,TZT_5T12_1_QUALITY,3x-79,0,КАНАЛ TZT_5T12_1 - Неопред.,
2: Category 2,TZT_5T12_1_QUALITY,3x-79,1,КАНАЛ TZT_5T12_1 - Ошибка,255:0:0
2: Category 2,TZT_5T12_1_QUALITY,3x-79,2,КАНАЛ TZT_5T12_1 - Обрыв,255:0:0
2: Category 2,TZT_5T12_1_QUALITY,3x-79,3,КАНАЛ TZT_5T12_1 - Перегрузка,255:0:0
1: Category 1,TZT_5T12_1_QUALITY,3x-79,7,КАНАЛ TZT_5T12_1 - Подмена,255:215:0
